"Grad.Month","Grad.Year","My..Conn","Job.Title","Current.City","Current.State","Home.Country","Gender","Major1","Major2","Major3","Minor1","Minor2","Minor3","Certificate1","Certificate2","Certificate3"
"May",2015,1,"Product Manager","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Security Architect","Minneapolis","MN","UNITED STATES","Male","Management Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Application Development Associate Manager","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2015,1,"Data Scientist","La Jolla","CA","UNITED STATES","Male","Economics (Analytical)","Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Developer Community Champion","Chicago","IL","UNITED STATES","Male","English","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Aug",2015,1,"Senior Macro Space Analyst in Format Development Design","Deerfield","IL","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,NA,NA,NA,"CHINA","Male","Finance","Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Security Forces","Charleston","SC","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2015,1,"Cloud Engineer","Chicago","IL","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Internal Control Specialist","Gangnam-gu","Seoul, Korea","SOUTH KOREA","Male","Accounting","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Senior Systems Engineer - Senior Consultant","Chicago","IL","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Senior Business Analyst","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Application Analyst","Des Moines","IA","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2015,1,"Associate - Advisory","Atlanta","GA","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2015,1,"Technology Risk Senior","Minneapolis","MN","UNITED STATES","Male","Accounting","Business Analytics",NA,"Psychology",NA,NA,NA,NA,NA
"May",2015,1,"Technical Lead - Software Engineer III","Des Moines","IA","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"KYC Due Diligence, Assistant Manager","Pudongxin District","Shanghai, China","CHINA","Female","Information Systems","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Project Manager","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,"Latin",NA,NA,NA,NA,NA
"Aug",2015,1,"Human Resources Business Analyst","New York","NY","CHINA","Female","Accounting","Management Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Billing and Collections Accountant","Iowa City","IA","UNITED STATES","Male","Finance","Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"IT Business Analyst","Dallas","TX","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,"International Business",NA,NA
"May",2015,1,"Senior Consultant","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
